dataset,model,operator,fold,num_branches,residual_mode,best_epoch,best_test_acc,test_loss,runtime_seconds,total_params
DD,MatrixResGated,GCNConv,3,5,sparse,71,0.7106382978723405,0.5819700956344604,198.6482174396515,70531
DD,MatrixResGated,GCNConv,3,6,sparse,53,0.7276595744680852,0.5748342871665955,208.91150760650635,84611
DD,MatrixResGated,GCNConv,3,7,sparse,80,0.6978723404255319,0.5748644471168518,279.2771067619324,98691
DD,MatrixResGated,GCNConv,3,8,sparse,76,0.7063829787234043,0.5722572207450867,286.869291305542,112771
DD,MatrixResGated,GCNConv,4,1,sparse,22,0.7148936170212766,0.5935457348823547,35.54372978210449,14211
DD,MatrixResGated,GCNConv,4,2,sparse,12,0.7021276595744681,0.6092718839645386,61.68546223640442,28291
DD,MatrixResGated,GCNConv,4,3,sparse,14,0.7021276595744681,0.6034451723098755,77.65499472618103,42371
DD,MatrixResGated,GCNConv,4,4,sparse,10,0.7063829787234043,0.6074357032775879,100.87824559211731,56451
DD,MatrixResGated,GCNConv,4,5,sparse,11,0.6893617021276596,0.6127800941467285,122.50434446334839,70531
DD,MatrixResGated,GCNConv,4,6,sparse,11,0.7148936170212766,0.6133372187614441,164.18990182876587,84611
DD,MatrixResGated,GCNConv,4,7,sparse,8,0.6638297872340425,0.6126446723937988,169.5995626449585,98691
DD,MatrixResGated,GCNConv,4,8,sparse,13,0.6510638297872341,0.6148483157157898,162.14295649528503,112771
DD,MatrixRes,GCNConv,0,1,identity,175,0.6877637130801688,0.5781556963920593,526.8292903900146,14211
DD,MatrixRes,GCNConv,0,2,identity,61,0.7468354430379747,0.5746017098426819,104.59471416473389,28291
DD,MatrixRes,GCNConv,0,3,identity,92,0.7426160337552743,0.5807143449783325,167.53091883659363,42371
DD,MatrixRes,GCNConv,0,4,identity,88,0.7215189873417721,0.5781540870666504,233.63173127174377,56451
DD,MatrixRes,GCNConv,0,5,identity,96,0.7172995780590717,0.5922176241874695,319.81428599357605,70531
DD,MatrixRes,GCNConv,0,6,identity,84,0.7341772151898734,0.5713803768157959,378.49575901031494,84611
DD,MatrixRes,GCNConv,0,7,identity,114,0.7257383966244726,0.6139256954193115,489.32076621055603,98691
DD,MatrixRes,GCNConv,0,8,identity,92,0.7341772151898734,0.5888873934745789,517.4012928009033,112771
DD,MatrixRes,GCNConv,1,1,identity,166,0.7669491525423728,0.5306290984153748,501.9677059650421,14211
DD,MatrixRes,GCNConv,1,2,identity,116,0.7838983050847458,0.5156139731407166,144.98416924476624,28291
