dataset,model,operator,fold,branches,residual_mode,mean_pairwise_distance,max_pairwise_distance,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean,mean_grad_norm,grad_max,grad_min,mean_cosine_branch,mean_cosine_depth,mean_cka_branch,mean_cka_depth
DD,MatrixRes,GCNConv,3,B5,identity,1.8689225912094116,2.6646504402160645,50.0,9429.812152862549,9429.812152862549,0.44875723560651143,0.8302415609359741,0.026988008758053184,0.11963015049695969,0.0020447031129151583,0.9512616801261902,0.8961098591486613,0.985235047340393,0.8278774089283414
DD,MatrixRes,GCNConv,3,B6,identity,2.163965439796448,3.3808650970458984,62.0,12153.690292358398,12153.690292358398,0.44549178972288417,0.8223894834518433,0.04788185495477265,0.2166372537612915,0.0026353904977440834,0.9172045936187109,0.897742423746321,0.9633732802338071,0.875734269618988
DD,MatrixRes,GCNConv,3,B7,identity,2.030090576126462,3.246887445449829,74.0,13856.197177886963,13856.197177886963,0.421184370654916,0.8240018486976624,0.016017510493596395,0.07450929284095764,0.001633370527997613,0.9192467794126394,0.9034324884414673,0.9806650171474535,0.9073039558198717
DD,MatrixRes,GCNConv,3,B8,identity,2.2884358295372556,4.132763862609863,86.0,16634.019645690918,16634.019645690918,0.46647322407613195,0.8221752643585205,0.04139386058794152,0.20368775725364685,0.0016329280333593488,0.9238864164799452,0.9058020843399895,0.9606914836913347,0.8528998891512553
DD,MatrixRes,GCNConv,4,B1,identity,0.0,0.0,2.0,366.57220458984375,366.57220458984375,0.48032136758168537,0.8107976317405701,0.06699675833806396,0.24855370819568634,0.0028276308439671993,0.9999999403953552,0.8344437016381158,1.0,0.9758333894941542
DD,MatrixRes,GCNConv,4,B2,identity,0.193912535905838,0.193912535905838,14.0,2813.035469055176,2813.035469055176,0.5857892781496048,0.8095937967300415,0.03475977731868625,0.1155054122209549,0.007341478485614061,0.9989648908376694,0.9327257672945658,0.9999812841415405,0.9867294099595811
DD,MatrixRes,GCNConv,4,B3,identity,1.5490779876708984,1.802925705909729,26.0,6517.728080749512,6517.728080749512,0.6611519047507534,0.8027667999267578,0.06782737287825771,0.2506014108657837,0.002109245862811804,0.9891174634297689,0.9197809166378446,0.9992255833413866,0.9659366144074334
DD,MatrixRes,GCNConv,4,B4,identity,1.630868375301361,2.1592912673950195,38.0,7450.645938873291,7450.645938873291,0.5525167704456383,0.8033170104026794,0.016960865886950935,0.09857544302940369,0.0028979864437133074,0.9619819112122059,0.9336888194084167,0.9971578381955624,0.9775282939275106
DD,MatrixRes,GCNConv,4,B5,identity,1.9896881580352783,2.92627215385437,50.0,9781.111724853516,9781.111724853516,0.560801868836085,0.8002238273620605,0.015669812906928586,0.07184308767318726,0.002914333948865533,0.9414820003509522,0.9378400709893968,0.9890580248832702,0.979624695248074
DD,MatrixRes,GCNConv,4,B6,identity,1.7626044114430746,2.7142741680145264,62.0,10700.8794631958,10700.8794631958,0.4921985624013123,0.7995867729187012,0.015526498518645382,0.0693092867732048,0.002012206707149744,0.9251202891270319,0.9261404408348931,0.9930857717990875,0.9895283050007291
