artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,mean_pairwise_distance,max_pairwise_distance,pair_count
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082526,1.3947161436080933,1.7989133596420288,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082557,1.1169739961624146,1.1416295766830444,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082600,1.0913779735565186,1.3829573392868042,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083013,0.9476033846537272,1.0592328310012817,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083052,1.4088497559229534,1.7737172842025757,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083113,1.2253794074058533,1.5745213031768799,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083510,1.0012847582499187,1.2331738471984863,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083551,0.8227535088857015,1.0202463865280151,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083601,0.8534823755423228,1.1129590272903442,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083936,1.2442039251327515,1.584659218788147,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_084252,1.4785552819569905,1.6093641519546509,3
branch_diversity,DD,MatrixRes,GCNConv,0,B3,identity,20260507_091841,1.0641113917032878,1.3475972414016724,3
branch_diversity,DD,MatrixRes,GCNConv,0,B4,identity,20260507_092313,1.5905824899673462,2.293724536895752,6
branch_diversity,DD,MatrixRes,GCNConv,0,B5,identity,20260507_092952,1.5027408182621003,2.100969076156616,10
branch_diversity,DD,MatrixRes,GCNConv,0,B6,identity,20260507_093718,1.7608556270599365,2.718201160430908,15
branch_diversity,DD,MatrixRes,GCNConv,0,B7,identity,20260507_094819,2.030096105166844,3.080181837081909,21
branch_diversity,DD,MatrixRes,GCNConv,0,B8,identity,20260507_095714,2.2044659852981567,3.879666566848755,28
branch_diversity,DD,MatrixRes,GCNConv,1,B1,identity,20260507_091301,0.0,0.0,0
branch_diversity,DD,MatrixRes,GCNConv,1,B2,identity,20260507_091548,0.1671772599220276,0.1671772599220276,1
branch_diversity,DD,MatrixRes,GCNConv,1,B3,identity,20260506_223212,1.4423535664876301,1.7800174951553345,3
branch_diversity,DD,MatrixRes,GCNConv,1,B3,identity,20260507_091915,1.4147645235061646,1.6892558336257935,3
branch_diversity,DD,MatrixRes,GCNConv,1,B4,identity,20260507_092428,1.7806394894917805,2.368199586868286,6
branch_diversity,DD,MatrixRes,GCNConv,1,B5,identity,20260507_093055,2.166825759410858,2.9566256999969482,10
branch_diversity,DD,MatrixRes,GCNConv,1,B6,identity,20260507_094006,2.3061419248580934,3.413522958755493,15
branch_diversity,DD,MatrixRes,GCNConv,1,B7,identity,20260507_094832,2.1216311000642323,3.202834129333496,21
branch_diversity,DD,MatrixRes,GCNConv,1,B8,identity,20260507_100055,2.6458971542971477,4.879659175872803,28
branch_diversity,DD,MatrixRes,GCNConv,2,B1,identity,20260507_091053,0.0,0.0,0
branch_diversity,DD,MatrixRes,GCNConv,2,B2,identity,20260507_091502,0.18450161814689636,0.18450161814689636,1
branch_diversity,DD,MatrixRes,GCNConv,2,B3,identity,20260506_223136,1.2853310704231262,1.5516818761825562,3
branch_diversity,DD,MatrixRes,GCNConv,2,B3,identity,20260507_091813,1.2854138016700745,1.5514007806777954,3
branch_diversity,DD,MatrixRes,GCNConv,2,B4,identity,20260507_092315,1.5953106085459392,2.0777647495269775,6
branch_diversity,DD,MatrixRes,GCNConv,2,B5,identity,20260507_092933,1.9741232872009278,3.032400369644165,10
branch_diversity,DD,MatrixRes,GCNConv,2,B6,identity,20260507_093751,2.299414618810018,3.270897388458252,15
