artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cosine_depth,max_cosine_depth,min_cosine_depth
cosine_depth,DD,MatrixResGated,GCNConv,1,B4,sparse,20260507_101433,cosine_depth,0.8260081873999702,1.0,0.5858089923858643
cosine_depth,DD,MatrixResGated,GCNConv,1,B5,sparse,20260507_101852,cosine_depth,0.813542041513655,1.0000001192092896,0.5630233287811279
cosine_depth,DD,MatrixResGated,GCNConv,1,B6,sparse,20260507_102531,cosine_depth,0.8104358116785685,1.000000238418579,0.5665939450263977
cosine_depth,DD,MatrixResGated,GCNConv,1,B7,sparse,20260507_103147,cosine_depth,0.8228241205215454,1.0000001192092896,0.5997248291969299
cosine_depth,DD,MatrixResGated,GCNConv,1,B8,sparse,20260507_104116,cosine_depth,0.8320764303207397,1.0000001192092896,0.6825794577598572
cosine_depth,DD,MatrixResGated,GCNConv,2,B1,sparse,20260507_100357,cosine_depth,0.7766523361206055,1.0,0.6165019869804382
cosine_depth,DD,MatrixResGated,GCNConv,2,B2,sparse,20260507_100639,cosine_depth,0.890837914413876,1.0000001192092896,0.7826552987098694
cosine_depth,DD,MatrixResGated,GCNConv,2,B3,sparse,20260506_223451,cosine_depth,0.8731254405445523,1.0000001192092896,0.7345722317695618
cosine_depth,DD,MatrixResGated,GCNConv,2,B3,sparse,20260507_101018,cosine_depth,0.8732093771298727,1.0,0.7347259521484375
cosine_depth,DD,MatrixResGated,GCNConv,2,B4,sparse,20260507_101313,cosine_depth,0.8822157515419854,1.0,0.7869747281074524
cosine_depth,DD,MatrixResGated,GCNConv,2,B5,sparse,20260507_101726,cosine_depth,0.8623603781064352,1.0000001192092896,0.7316955924034119
cosine_depth,DD,MatrixResGated,GCNConv,2,B6,sparse,20260507_102322,cosine_depth,0.8616146710183885,1.000000238418579,0.7132467031478882
cosine_depth,DD,MatrixResGated,GCNConv,2,B7,sparse,20260507_103029,cosine_depth,0.9006198114818997,1.0000001192092896,0.8141616582870483
cosine_depth,DD,MatrixResGated,GCNConv,2,B8,sparse,20260507_103845,cosine_depth,0.8896382119920518,1.0,0.7810635566711426
cosine_depth,DD,MatrixResGated,GCNConv,3,B1,sparse,20260507_100432,cosine_depth,0.7579203512933519,1.0,0.5751554369926453
cosine_depth,DD,MatrixResGated,GCNConv,3,B2,sparse,20260507_100855,cosine_depth,0.8777392241689894,1.0000001192092896,0.7751883268356323
cosine_depth,DD,MatrixResGated,GCNConv,3,B3,sparse,20260506_223613,cosine_depth,0.8492282297876146,1.0000001192092896,0.7010525465011597
cosine_depth,DD,MatrixResGated,GCNConv,3,B3,sparse,20260507_101126,cosine_depth,0.8472877674632602,1.000000238418579,0.6979420781135559
cosine_depth,DD,MatrixResGated,GCNConv,3,B4,sparse,20260507_101523,cosine_depth,0.8722883992724948,1.0000001192092896,0.7545446753501892
cosine_depth,DD,MatrixResGated,GCNConv,3,B5,sparse,20260507_102049,cosine_depth,0.8485271864467197,1.0000001192092896,0.6724659204483032
cosine_depth,DD,MatrixResGated,GCNConv,3,B6,sparse,20260507_102655,cosine_depth,0.8698912196689181,1.0,0.753635823726654
cosine_depth,DD,MatrixResGated,GCNConv,3,B7,sparse,20260507_103513,cosine_depth,0.8872709340519376,1.0000004768371582,0.7780107855796814
cosine_depth,DD,MatrixResGated,GCNConv,3,B8,sparse,20260507_104254,cosine_depth,0.8735447194841173,1.0,0.7429541945457458
cosine_depth,DD,MatrixResGated,GCNConv,4,B1,sparse,20260507_100438,cosine_depth,0.7919887105623881,1.0,0.6288256049156189
