artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cosine_branch,max_cosine_branch,min_cosine_branch
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091253,cosine_branch,0.9751672546068827,1.000000238418579,0.927778422832489
cosine_branch,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_100929,cosine_branch,0.9720498654577467,1.0,0.9169662594795227
cosine_branch,DD,MatrixResGated,GCNConv,0,B4,sparse,20260507_101254,cosine_branch,0.9599960036575794,1.0000001192092896,0.8698248863220215
cosine_branch,DD,MatrixResGated,GCNConv,0,B5,sparse,20260507_101837,cosine_branch,0.9060163497924805,1.0000001192092896,0.7265447378158569
cosine_branch,DD,MatrixResGated,GCNConv,0,B6,sparse,20260507_102427,cosine_branch,0.9080049643913904,1.000000238418579,0.7887142300605774
cosine_branch,DD,MatrixResGated,GCNConv,0,B7,sparse,20260507_103151,cosine_branch,0.9147098928081746,1.000000238418579,0.8055998682975769
cosine_branch,DD,MatrixResGated,GCNConv,0,B8,sparse,20260507_103803,cosine_branch,0.8845402328297496,1.0000001192092896,0.7325537204742432
cosine_branch,DD,MatrixResGated,GCNConv,1,B1,sparse,20260507_100337,cosine_branch,1.0,1.0,1.0
cosine_branch,DD,MatrixResGated,GCNConv,1,B2,sparse,20260507_100658,cosine_branch,0.998188704252243,1.0000001192092896,0.9963773488998413
cosine_branch,DD,MatrixResGated,GCNConv,1,B3,sparse,20260506_223526,cosine_branch,0.9819017582469516,1.0000001192092896,0.9465296864509583
cosine_branch,DD,MatrixResGated,GCNConv,1,B3,sparse,20260507_101020,cosine_branch,0.9815078841315376,1.0000003576278687,0.945336639881134
cosine_branch,DD,MatrixResGated,GCNConv,1,B4,sparse,20260507_101433,cosine_branch,0.9539389684796333,1.0000001192092896,0.8485537767410278
cosine_branch,DD,MatrixResGated,GCNConv,1,B5,sparse,20260507_101852,cosine_branch,0.9453989219665527,1.0,0.8519762754440308
cosine_branch,DD,MatrixResGated,GCNConv,1,B6,sparse,20260507_102531,cosine_branch,0.9238471355703142,1.0000001192092896,0.8171795606613159
cosine_branch,DD,MatrixResGated,GCNConv,1,B7,sparse,20260507_103147,cosine_branch,0.9321492241353405,1.000000238418579,0.8545019030570984
cosine_branch,DD,MatrixResGated,GCNConv,1,B8,sparse,20260507_104116,cosine_branch,0.8914042180404067,1.0000001192092896,0.7433457374572754
cosine_branch,DD,MatrixResGated,GCNConv,2,B1,sparse,20260507_100357,cosine_branch,1.0,1.0,1.0
cosine_branch,DD,MatrixResGated,GCNConv,2,B2,sparse,20260507_100639,cosine_branch,0.9937118887901306,1.0000001192092896,0.9874237179756165
cosine_branch,DD,MatrixResGated,GCNConv,2,B3,sparse,20260506_223451,cosine_branch,0.9723382592201233,1.0000001192092896,0.91850346326828
cosine_branch,DD,MatrixResGated,GCNConv,2,B3,sparse,20260507_101018,cosine_branch,0.9723130067189535,1.0,0.9184355139732361
cosine_branch,DD,MatrixResGated,GCNConv,2,B4,sparse,20260507_101313,cosine_branch,0.9276545643806458,1.0000001192092896,0.7718836069107056
cosine_branch,DD,MatrixResGated,GCNConv,2,B5,sparse,20260507_101726,cosine_branch,0.9277401757240296,1.0000001192092896,0.8079246878623962
cosine_branch,DD,MatrixResGated,GCNConv,2,B6,sparse,20260507_102322,cosine_branch,0.8775638557142682,1.0000001192092896,0.6713384389877319
cosine_branch,DD,MatrixResGated,GCNConv,2,B7,sparse,20260507_103029,cosine_branch,0.8740430644580296,1.0000001192092896,0.6866194009780884
cosine_branch,DD,MatrixResGated,GCNConv,2,B8,sparse,20260507_103845,cosine_branch,0.8230087058618665,1.000000238418579,0.5434656143188477
cosine_branch,DD,MatrixResGated,GCNConv,3,B1,sparse,20260507_100432,cosine_branch,0.9999999403953552,0.9999999403953552,0.9999999403953552
cosine_branch,DD,MatrixResGated,GCNConv,3,B2,sparse,20260507_100855,cosine_branch,0.9963241219520569,1.0,0.9926483035087585
cosine_branch,DD,MatrixResGated,GCNConv,3,B3,sparse,20260506_223613,cosine_branch,0.9668037295341492,1.0000001192092896,0.9016011357307434
cosine_branch,DD,MatrixResGated,GCNConv,3,B3,sparse,20260507_101126,cosine_branch,0.9694128433863322,1.0000001192092896,0.9092590808868408
cosine_branch,DD,MatrixResGated,GCNConv,3,B4,sparse,20260507_101523,cosine_branch,0.9490998163819313,1.0000001192092896,0.8350809216499329
cosine_branch,DD,MatrixResGated,GCNConv,3,B5,sparse,20260507_102049,cosine_branch,0.920719678401947,1.000000238418579,0.765626072883606
cosine_branch,DD,MatrixResGated,GCNConv,3,B6,sparse,20260507_102655,cosine_branch,0.9047253413332833,1.0000001192092896,0.7562957406044006
cosine_branch,DD,MatrixResGated,GCNConv,3,B7,sparse,20260507_103513,cosine_branch,0.8981117971089422,1.000000238418579,0.7626194953918457
cosine_branch,DD,MatrixResGated,GCNConv,3,B8,sparse,20260507_104254,cosine_branch,0.889603627845645,1.000000238418579,0.7230176329612732
cosine_branch,DD,MatrixResGated,GCNConv,4,B1,sparse,20260507_100438,cosine_branch,0.9999999403953552,0.9999999403953552,0.9999999403953552
cosine_branch,DD,MatrixResGated,GCNConv,4,B2,sparse,20260507_100745,cosine_branch,0.9916324615478516,1.0,0.9832649230957031
cosine_branch,DD,MatrixResGated,GCNConv,4,B3,sparse,20260506_223605,cosine_branch,0.9708385666211446,1.0,0.9147846698760986
cosine_branch,DD,MatrixResGated,GCNConv,4,B3,sparse,20260507_101140,cosine_branch,0.9708238442738851,1.0,0.9147515296936035
cosine_branch,DD,MatrixResGated,GCNConv,4,B4,sparse,20260507_101458,cosine_branch,0.921260379254818,1.0000001192092896,0.7550723552703857
cosine_branch,DD,MatrixResGated,GCNConv,4,B5,sparse,20260507_102044,cosine_branch,0.8996081638336182,1.0000001192092896,0.7197796106338501
cosine_branch,DD,MatrixResGated,GCNConv,4,B6,sparse,20260507_102716,cosine_branch,0.8896971262163587,1.0000001192092896,0.6991351246833801
cosine_branch,DD,MatrixResGated,GCNConv,4,B7,sparse,20260507_103440,cosine_branch,0.879616700873083,1.0000001192092896,0.7093886137008667
