artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cka_branch,max_cka_branch,min_cka_branch
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082557,cka_branch,0.9939099815156724,1.0,0.9817942976951599
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082600,cka_branch,0.9980009661780463,1.0,0.994017481803894
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083013,cka_branch,0.992890304989285,1.0,0.9799566864967346
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083052,cka_branch,0.9983485473526849,1.0,0.995064377784729
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083113,cka_branch,0.9968531926472982,1.0,0.990580677986145
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083510,cka_branch,0.9991379645135667,1.0,0.9976518154144287
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083551,cka_branch,0.9990112781524658,1.0000001192092896,0.9970666170120239
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083601,cka_branch,0.9969814088609483,1.0,0.9910882711410522
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083936,cka_branch,0.9970234433809916,1.0,0.9910953044891357
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_084252,cka_branch,0.9974140988455878,1.000000238418579,0.9922782182693481
cka_branch,DD,MatrixRes,GCNConv,0,B3,identity,20260507_091841,cka_branch,0.9976917306582133,1.0,0.9930910468101501
cka_branch,DD,MatrixRes,GCNConv,0,B4,identity,20260507_092313,cka_branch,0.9723994992673397,1.0,0.9044726490974426
cka_branch,DD,MatrixRes,GCNConv,0,B5,identity,20260507_092952,cka_branch,0.9862790560722351,1.0000003576278687,0.9515835642814636
cka_branch,DD,MatrixRes,GCNConv,0,B6,identity,20260507_093718,cka_branch,0.9413244310352538,1.0,0.8227692246437073
cka_branch,DD,MatrixRes,GCNConv,0,B7,identity,20260507_094819,cka_branch,0.9526180807425051,1.000000238418579,0.8884852528572083
cka_branch,DD,MatrixRes,GCNConv,0,B8,identity,20260507_095714,cka_branch,0.9217028571292758,1.0,0.7527028918266296
cka_branch,DD,MatrixRes,GCNConv,1,B1,identity,20260507_091301,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixRes,GCNConv,1,B2,identity,20260507_091548,cka_branch,1.0,1.000000238418579,0.9999997615814209
cka_branch,DD,MatrixRes,GCNConv,1,B3,identity,20260506_223212,cka_branch,0.9999485280778673,1.0,0.999846875667572
cka_branch,DD,MatrixRes,GCNConv,1,B3,identity,20260507_091915,cka_branch,0.9999482168091668,1.0,0.9998462796211243
cka_branch,DD,MatrixRes,GCNConv,1,B4,identity,20260507_092428,cka_branch,0.9983823783695698,1.0000001192092896,0.9943938255310059
cka_branch,DD,MatrixRes,GCNConv,1,B5,identity,20260507_093055,cka_branch,0.998533992767334,1.0,0.9947810173034668
cka_branch,DD,MatrixRes,GCNConv,1,B6,identity,20260507_094006,cka_branch,0.9962445795536041,1.0,0.9873244762420654
cka_branch,DD,MatrixRes,GCNConv,1,B7,identity,20260507_094832,cka_branch,0.9951354204391947,1.000000238418579,0.985679566860199
cka_branch,DD,MatrixRes,GCNConv,1,B8,identity,20260507_100055,cka_branch,0.9921527812257409,1.0,0.9745635390281677
cka_branch,DD,MatrixRes,GCNConv,2,B1,identity,20260507_091053,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixRes,GCNConv,2,B2,identity,20260507_091502,cka_branch,0.9999544024467468,1.000000238418579,0.9999086856842041
cka_branch,DD,MatrixRes,GCNConv,2,B3,identity,20260506_223136,cka_branch,0.9989512628979154,1.000000238418579,0.9968664646148682
cka_branch,DD,MatrixRes,GCNConv,2,B3,identity,20260507_091813,cka_branch,0.9989555809232924,1.0,0.9968796372413635
cka_branch,DD,MatrixRes,GCNConv,2,B4,identity,20260507_092315,cka_branch,0.9954195097088814,1.0,0.9849173426628113
cka_branch,DD,MatrixRes,GCNConv,2,B5,identity,20260507_092933,cka_branch,0.9901577639579773,1.0,0.965299129486084
cka_branch,DD,MatrixRes,GCNConv,2,B6,identity,20260507_093751,cka_branch,0.989560572637452,1.0,0.9670753479003906
cka_branch,DD,MatrixRes,GCNConv,2,B7,identity,20260507_094737,cka_branch,0.9865718775865983,1.0,0.9573020339012146
cka_branch,DD,MatrixRes,GCNConv,2,B8,identity,20260507_095909,cka_branch,0.9770290032029152,1.0,0.9421897530555725
cka_branch,DD,MatrixRes,GCNConv,3,B1,identity,20260507_091349,cka_branch,1.0,1.0,1.0
cka_branch,DD,MatrixRes,GCNConv,3,B2,identity,20260507_091630,cka_branch,0.9999929666519165,1.0,0.999985933303833
cka_branch,DD,MatrixRes,GCNConv,3,B3,identity,20260506_223325,cka_branch,0.9985239108403524,1.000000238418579,0.9955897331237793
cka_branch,DD,MatrixRes,GCNConv,3,B3,identity,20260507_092104,cka_branch,0.9985819922553169,1.0,0.9957655668258667
cka_branch,DD,MatrixRes,GCNConv,3,B4,identity,20260507_092640,cka_branch,0.9850413948297501,1.0,0.948306679725647
cka_branch,DD,MatrixRes,GCNConv,3,B5,identity,20260507_093417,cka_branch,0.985235047340393,1.0,0.9497628211975098
cka_branch,DD,MatrixRes,GCNConv,3,B6,identity,20260507_094314,cka_branch,0.9633732802338071,1.0,0.8753287196159363
cka_branch,DD,MatrixRes,GCNConv,3,B7,identity,20260507_095424,cka_branch,0.9806650171474535,1.0,0.9543159008026123
