artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,residual_sites,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean
residual_stats,DD,MatrixRes,GCNConv,2,B2,identity,20260507_091502,6,14.0,2855.128707885742,2855.128707885742,0.592225988705953,0.8068127632141113
residual_stats,DD,MatrixRes,GCNConv,2,B3,identity,20260506_223136,9,26.0,5999.185600280762,5999.185600280762,0.6136004532928819,0.8025170564651489
residual_stats,DD,MatrixRes,GCNConv,2,B3,identity,20260507_091813,9,26.0,5999.360122680664,5999.360122680664,0.61370309734786,0.802516758441925
residual_stats,DD,MatrixRes,GCNConv,2,B4,identity,20260507_092315,12,38.0,7900.776405334473,7900.776405334473,0.5758438604573409,0.8011090159416199
residual_stats,DD,MatrixRes,GCNConv,2,B5,identity,20260507_092933,15,50.0,9988.622020721436,9988.622020721436,0.5434894223345651,0.8013018369674683
residual_stats,DD,MatrixRes,GCNConv,2,B6,identity,20260507_093751,18,62.0,13739.46378326416,13739.46378326416,0.5445011614649383,0.8005854487419128
residual_stats,DD,MatrixRes,GCNConv,2,B7,identity,20260507_094737,21,74.0,15630.318870544434,15630.318870544434,0.5321259530763778,0.8013321161270142
residual_stats,DD,MatrixRes,GCNConv,2,B8,identity,20260507_095909,24,86.0,18653.166805267334,18653.166805267334,0.5428783525195388,0.8008056282997131
residual_stats,DD,MatrixRes,GCNConv,3,B1,identity,20260507_091349,3,2.0,288.4962387084961,288.4962387084961,0.398968646923701,0.8152806162834167
residual_stats,DD,MatrixRes,GCNConv,3,B2,identity,20260507_091630,6,14.0,2853.275390625,2853.275390625,0.529331785109308,0.8195919990539551
residual_stats,DD,MatrixRes,GCNConv,3,B3,identity,20260506_223325,9,26.0,4966.226734161377,4966.226734161377,0.4760316683186426,0.8278850317001343
residual_stats,DD,MatrixRes,GCNConv,3,B3,identity,20260507_092104,9,26.0,4962.879898071289,4962.879898071289,0.4784052839985601,0.827614426612854
residual_stats,DD,MatrixRes,GCNConv,3,B4,identity,20260507_092640,12,38.0,7557.053958892822,7557.053958892822,0.49054349917504525,0.8263804912567139
residual_stats,DD,MatrixRes,GCNConv,3,B5,identity,20260507_093417,15,50.0,9429.812152862549,9429.812152862549,0.44875723560651143,0.8302415609359741
residual_stats,DD,MatrixRes,GCNConv,3,B6,identity,20260507_094314,18,62.0,12153.690292358398,12153.690292358398,0.44549178972288417,0.8223894834518433
residual_stats,DD,MatrixRes,GCNConv,3,B7,identity,20260507_095424,21,74.0,13856.197177886963,13856.197177886963,0.421184370654916,0.8240018486976624
residual_stats,DD,MatrixRes,GCNConv,3,B8,identity,20260507_100524,24,86.0,16634.019645690918,16634.019645690918,0.46647322407613195,0.8221752643585205
residual_stats,DD,MatrixRes,GCNConv,4,B1,identity,20260507_091317,3,2.0,366.57220458984375,366.57220458984375,0.48032136758168537,0.8107976317405701
residual_stats,DD,MatrixRes,GCNConv,4,B2,identity,20260507_091618,6,14.0,2813.035469055176,2813.035469055176,0.5857892781496048,0.8095937967300415
residual_stats,DD,MatrixRes,GCNConv,4,B3,identity,20260506_223318,9,26.0,6517.985046386719,6517.985046386719,0.6611322261669018,0.8027666211128235
residual_stats,DD,MatrixRes,GCNConv,4,B3,identity,20260507_092016,9,26.0,6517.728080749512,6517.728080749512,0.6611519047507534,0.8027667999267578
residual_stats,DD,MatrixRes,GCNConv,4,B4,identity,20260507_092533,12,38.0,7450.645938873291,7450.645938873291,0.5525167704456383,0.8033170104026794
residual_stats,DD,MatrixRes,GCNConv,4,B5,identity,20260507_093247,15,50.0,9781.111724853516,9781.111724853516,0.560801868836085,0.8002238273620605
residual_stats,DD,MatrixRes,GCNConv,4,B6,identity,20260507_094131,18,62.0,10700.8794631958,10700.8794631958,0.4921985624013123,0.7995867729187012
residual_stats,DD,MatrixRes,GCNConv,4,B7,identity,20260507_095212,21,74.0,14560.927810668945,14560.927810668945,0.5551613735774207,0.7984141111373901
residual_stats,DD,MatrixRes,GCNConv,4,B8,identity,20260507_100319,24,86.0,16118.762294769287,16118.762294769287,0.5421287929432259,0.8008230924606323
residual_stats,DD,Plain,GCNConv,0,B3,identity,20260506_220121,9,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,DD,Plain,GCNConv,0,B3,identity,20260506_222425,9,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,DD,Plain,GCNConv,1,B3,identity,20260506_222440,9,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,DD,Plain,GCNConv,2,B3,identity,20260506_222348,9,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,DD,Plain,GCNConv,3,B3,identity,20260506_222519,9,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,DD,Plain,GCNConv,4,B3,identity,20260506_222520,9,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,DD,VerticalRes,GCNConv,0,B3,identity,20260506_220142,9,6.0,804.0954437255859,804.0954437255859,0.4475538664393955,0.8030324578285217
residual_stats,DD,VerticalRes,GCNConv,0,B3,identity,20260506_222633,9,6.0,690.4787063598633,690.4787063598633,0.2385498599873649,0.8557965159416199
residual_stats,DD,VerticalRes,GCNConv,1,B3,identity,20260506_222706,9,6.0,804.6208038330078,804.6208038330078,0.27977142731348675,0.831331193447113
residual_stats,DD,VerticalRes,GCNConv,2,B3,identity,20260506_222614,9,6.0,958.1712951660156,958.1712951660156,0.40410636862119037,0.8067951798439026
residual_stats,DD,VerticalRes,GCNConv,3,B3,identity,20260506_222800,9,6.0,745.5616302490234,745.5616302490234,0.2534894479645623,0.8388698697090149
residual_stats,DD,VerticalRes,GCNConv,4,B3,identity,20260506_222734,9,6.0,1130.4848861694336,1130.4848861694336,0.3856482472684648,0.8153140544891357
residual_stats,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_220151,12,16.0,573.3113689422607,573.3113689422607,0.3775861809651057,0.79715895652771
residual_stats,ENZYMES,HorizontalRes,GCNConv,0,B3,identity,20260506_223728,12,16.0,573.311372756958,573.311372756958,0.3775861809651057,0.79715895652771
residual_stats,ENZYMES,HorizontalRes,GCNConv,1,B3,identity,20260506_223737,12,16.0,905.3331241607666,905.3331241607666,0.23701958544552326,0.7930039167404175
residual_stats,ENZYMES,HorizontalRes,GCNConv,2,B3,identity,20260506_223811,12,16.0,825.719181060791,825.719181060791,0.2249463809033235,0.811464250087738
residual_stats,ENZYMES,HorizontalRes,GCNConv,3,B3,identity,20260506_223816,12,16.0,1014.8219203948975,1014.8219203948975,0.2303309297809998,0.8008569478988647
residual_stats,ENZYMES,HorizontalRes,GCNConv,4,B3,identity,20260506_223800,12,16.0,965.3716850280762,965.3716850280762,0.25602727693816024,0.7978224158287048
residual_stats,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_220157,12,37.0,4373.334011077881,3841.6023139953613,0.5030385865933366,0.7981234788894653
residual_stats,ENZYMES,MatrixResGated,GCNConv,0,B3,sparse,20260506_224002,12,37.0,2569.845760345459,2099.2023973464966,0.3993589124745793,0.7945109605789185
residual_stats,ENZYMES,MatrixResGated,GCNConv,1,B3,sparse,20260506_224037,12,37.0,2212.94718170166,1844.0944089889526,0.25811662698785465,0.7972964644432068
residual_stats,ENZYMES,MatrixResGated,GCNConv,2,B3,sparse,20260506_224110,12,37.0,1765.557502746582,1388.4983224868774,0.2458746190286345,0.7941091060638428
residual_stats,ENZYMES,MatrixResGated,GCNConv,3,B3,sparse,20260506_224126,12,37.0,2416.490659713745,2140.756245613098,0.18763849101960658,0.8031732439994812
residual_stats,ENZYMES,MatrixResGated,GCNConv,4,B3,sparse,20260506_224123,12,37.0,2433.3293628692627,2086.4209308624268,0.2489075756321351,0.7969545125961304
residual_stats,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_220155,12,37.0,7104.976501464844,7104.976501464844,0.6401540193292831,0.7980774641036987
residual_stats,ENZYMES,MatrixRes,GCNConv,0,B3,identity,20260506_223827,12,37.0,4137.54828453064,4137.54828453064,0.571159486224254,0.7942251563072205
residual_stats,ENZYMES,MatrixRes,GCNConv,1,B3,identity,20260506_223930,12,37.0,2418.048592567444,2418.048592567444,0.34417877967158955,0.7881515026092529
residual_stats,ENZYMES,MatrixRes,GCNConv,2,B3,identity,20260506_223933,12,37.0,1889.7949438095093,1889.7949438095093,0.40525363282197047,0.7895032167434692
residual_stats,ENZYMES,MatrixRes,GCNConv,3,B3,identity,20260506_223939,12,37.0,2475.548065185547,2475.548065185547,0.3067781762530406,0.7872553467750549
residual_stats,ENZYMES,MatrixRes,GCNConv,4,B3,identity,20260506_224018,12,37.0,2570.6232986450195,2570.6232986450195,0.3966546418352259,0.7890850305557251
residual_stats,ENZYMES,Plain,GCNConv,0,B3,identity,20260506_220147,12,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,ENZYMES,Plain,GCNConv,0,B3,identity,20260506_223546,12,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,ENZYMES,Plain,GCNConv,1,B3,identity,20260506_223611,12,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,ENZYMES,Plain,GCNConv,2,B3,identity,20260506_223636,12,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,ENZYMES,Plain,GCNConv,3,B3,identity,20260506_223642,12,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,ENZYMES,Plain,GCNConv,4,B3,identity,20260506_223630,12,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,ENZYMES,VerticalRes,GCNConv,0,B3,identity,20260506_220153,12,9.0,454.7928886413574,454.7928886413574,0.4736020788550377,0.7968959212303162
residual_stats,ENZYMES,VerticalRes,GCNConv,0,B3,identity,20260506_223644,12,9.0,454.7928886413574,454.7928886413574,0.4736020788550377,0.7968959212303162
residual_stats,ENZYMES,VerticalRes,GCNConv,1,B3,identity,20260506_223655,12,9.0,532.6488800048828,532.6488800048828,0.36129863808552426,0.7856978178024292
residual_stats,ENZYMES,VerticalRes,GCNConv,2,B3,identity,20260506_223713,12,9.0,406.85327339172363,406.85327339172363,0.3239343911409378,0.7888248562812805
residual_stats,ENZYMES,VerticalRes,GCNConv,3,B3,identity,20260506_223725,12,9.0,431.2093620300293,431.2093620300293,0.256710567822059,0.7888501286506653
residual_stats,ENZYMES,VerticalRes,GCNConv,4,B3,identity,20260506_223716,12,9.0,533.6427726745605,533.6427726745605,0.36385783056418103,0.7912336587905884
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B1,identity,20260507_075815,4,0.0,0.0,0.0,0.0,0.800000011920929
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B2,identity,20260507_075937,8,8.0,539.2734642028809,539.2734642028809,0.24960527569055557,0.7825525999069214
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B3,identity,20260506_213839,6,8.0,298.37193489074707,298.37193489074707,0.3690922235449155,0.7931143641471863
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B3,identity,20260506_220101,12,16.0,1012.4793701171875,1012.4793701171875,0.3711298257112503,0.797182023525238
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B3,identity,20260506_221921,12,16.0,1179.2976837158203,1179.2976837158203,0.2408091096828381,0.7866165041923523
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B3,identity,20260507_080101,12,16.0,1209.9804801940918,1209.9804801940918,0.24553456405798593,0.7866300344467163
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B4,identity,20260507_080459,16,24.0,1663.6010818481445,1663.6010818481445,0.24823213182389736,0.788964033126831
residual_stats,PROTEINS,HorizontalRes,GCNConv,0,B5,identity,20260507_080928,20,32.0,2138.5472373962402,2138.5472373962402,0.23533945102244616,0.7823439836502075
