artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,grad_rows,mean_grad_norm,grad_max,grad_min
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084843,21,0.10716344367357947,0.47287553548812866,0.008616458624601364
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_084944,21,0.19593606277235917,0.8816940784454346,0.01790390908718109
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085156,21,0.1914476193931131,0.8706467747688293,0.015151874162256718
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085303,21,0.04444144775957933,0.19440962374210358,0.0035340478643774986
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085353,21,0.027817728047791337,0.11091261357069016,0.0019029454560950398
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085613,21,0.12596554974360125,0.5565429329872131,0.01096187625080347
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085803,21,0.20129826780231225,0.888449490070343,0.019383272156119347
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_085958,21,0.2071865727858884,0.9188889861106873,0.012570017948746681
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090029,21,0.09058729013694185,0.3789052665233612,0.00842411071062088
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090225,21,0.13324386812746525,0.5904414653778076,0.011343315243721008
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090507,21,0.04486104686345373,0.2013603150844574,0.004731751047074795
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090601,21,0.02481060650288349,0.09877876192331314,0.0013032220304012299
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090946,21,0.15537225623570738,0.7074900269508362,0.005493810400366783
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091221,21,0.12719110346266202,0.5638917684555054,0.011390052735805511
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091253,21,0.08925888955681807,0.38419845700263977,0.004659326281398535
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_100929,21,0.12744585801625535,0.5638354420661926,0.011684331111609936
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B4,sparse,20260507_101254,27,0.08654080778015433,0.3950940668582916,0.00675565842539072
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B5,sparse,20260507_101837,33,0.06166525269773873,0.2907409071922302,0.0038882363587617874
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B6,sparse,20260507_102427,39,0.05443405715796428,0.2615897059440613,0.003149010706692934
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B7,sparse,20260507_103151,45,0.12019953895360232,0.6332310438156128,0.00438210554420948
gradient_by_layer,DD,MatrixResGated,GCNConv,0,B8,sparse,20260507_103803,51,0.053843705230118596,0.2967861294746399,0.0023527664598077536
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B1,sparse,20260507_100337,9,0.08319842286356208,0.38618800044059753,0.0008640148444101214
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B2,sparse,20260507_100658,15,0.06086206197505817,0.24303166568279266,0.00023429986322298646
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B3,sparse,20260506_223526,21,0.12024896277719,0.5278282761573792,0.0004473488370422274
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B3,sparse,20260507_101020,21,0.11152940482965537,0.4858112037181854,0.0009559756144881248
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B4,sparse,20260507_101433,27,0.01402763565527965,0.05906188488006592,0.0009338870295323431
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B5,sparse,20260507_101852,33,0.06330642849912471,0.3249192535877228,0.0026111609768122435
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B6,sparse,20260507_102531,39,0.03081216579840447,0.1482008397579193,0.0015394150977954268
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B7,sparse,20260507_103147,45,0.03555384961526013,0.19046759605407715,0.001695112674497068
gradient_by_layer,DD,MatrixResGated,GCNConv,1,B8,sparse,20260507_104116,51,0.05109241882832173,0.27473706007003784,0.002376626245677471
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B1,sparse,20260507_100357,9,0.021402470198356442,0.05319802835583687,0.002301205415278673
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B2,sparse,20260507_100639,15,0.023528666856388252,0.06712819635868073,0.004919216502457857
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B3,sparse,20260506_223451,21,0.025313150381580704,0.09018796682357788,0.00495934346690774
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B3,sparse,20260507_101018,21,0.02492938538835872,0.08843744546175003,0.004915475379675627
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B4,sparse,20260507_101313,27,0.03659965225529892,0.1478910744190216,0.004807312972843647
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B5,sparse,20260507_101726,33,0.02082178045318208,0.08377103507518768,0.003182649612426758
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B6,sparse,20260507_102322,39,0.01091727240679738,0.0530259869992733,0.0010938005289062858
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B7,sparse,20260507_103029,45,0.007941553166084405,0.04418925568461418,0.0006191003485582769
gradient_by_layer,DD,MatrixResGated,GCNConv,2,B8,sparse,20260507_103845,51,0.007601824575377738,0.04162728786468506,0.0008832416497170925
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B1,sparse,20260507_100432,9,0.0656071251982616,0.2821151614189148,0.0020632208324968815
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B2,sparse,20260507_100855,15,0.14472621170183023,0.5714404582977295,0.01567014865577221
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B3,sparse,20260506_223613,21,0.040342095895626005,0.2016289085149765,0.0024497383274137974
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B3,sparse,20260507_101126,21,0.038806858960361706,0.1664210855960846,0.004818785469979048
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B4,sparse,20260507_101523,27,0.02333775661126883,0.1073499247431755,0.0024675698950886726
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B5,sparse,20260507_102049,33,0.09111990308332624,0.4281751215457916,0.005801679566502571
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B6,sparse,20260507_102655,39,0.024134914444099802,0.11444160342216492,3.820993879344314e-05
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B7,sparse,20260507_103513,45,0.015991428706588016,0.0680200606584549,0.0013807835057377815
gradient_by_layer,DD,MatrixResGated,GCNConv,3,B8,sparse,20260507_104254,51,0.018551370312172154,0.09032250195741653,0.0004768023791257292
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B1,sparse,20260507_100438,9,0.04902725336917987,0.20595446228981018,0.0008747606771066785
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B2,sparse,20260507_100745,15,0.03488194774836302,0.1041964441537857,0.01050692331045866
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B3,sparse,20260506_223605,21,0.0159482275956266,0.04964491352438927,0.003090607700869441
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B3,sparse,20260507_101140,21,0.015945559544932274,0.049584079533815384,0.0030715337488800287
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B4,sparse,20260507_101458,27,0.030416349052555032,0.10960592329502106,0.007053621578961611
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B5,sparse,20260507_102044,33,0.017570084426552057,0.08874727040529251,0.0020548803731799126
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B6,sparse,20260507_102716,39,0.020170284199337356,0.09609518945217133,0.0018158095190301538
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B7,sparse,20260507_103440,45,0.02118338829216858,0.07846924662590027,0.0025217330548912287
gradient_by_layer,DD,MatrixResGated,GCNConv,4,B8,sparse,20260507_104131,51,0.015338941452129945,0.06339140236377716,0.0016376698622480035
gradient_by_layer,DD,MatrixRes,GCNConv,0,B1,identity,20260507_091148,9,0.14485356284098494,0.6537330746650696,0.002739221788942814
gradient_by_layer,DD,MatrixRes,GCNConv,0,B2,identity,20260507_091452,15,0.16266680508852005,0.6240617036819458,0.013000322505831718
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260506_220130,21,0.0251252633475122,0.13211171329021454,0.0051284232176840305
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260506_223200,21,0.16624660311000689,0.7514838576316833,0.016902804374694824
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082526,21,0.15572057050164967,0.7089128494262695,0.0024921330623328686
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082557,21,0.08461354220552104,0.3571854531764984,0.0067992182448506355
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082600,21,0.14829139863806112,0.6637501120567322,0.015419583767652512
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083013,21,0.05666035555657886,0.22447684407234192,0.007940446957945824
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083052,21,0.2158262427186682,0.965843915939331,0.01753099076449871
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083113,21,0.08224812429398298,0.3577991724014282,0.008477366529405117
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083510,21,0.04146923084876367,0.19666719436645508,0.0023075477220118046
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083551,21,0.05353531948778601,0.2385338991880417,0.0038808630779385567
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083601,21,0.14899092797367347,0.6552388668060303,0.008271444588899612
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083936,21,0.08791525746207862,0.3865625858306885,0.008923881687223911
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_084252,21,0.22005739506511462,1.0331518650054932,0.022745978087186813
gradient_by_layer,DD,MatrixRes,GCNConv,0,B3,identity,20260507_091841,21,0.09352695578265757,0.41622650623321533,0.009488889016211033
gradient_by_layer,DD,MatrixRes,GCNConv,0,B4,identity,20260507_092313,27,0.04760666567556284,0.22176416218280792,0.0037822946906089783
gradient_by_layer,DD,MatrixRes,GCNConv,0,B5,identity,20260507_092952,33,0.14492693103172563,0.6875517964363098,0.008843249641358852
gradient_by_layer,DD,MatrixRes,GCNConv,0,B6,identity,20260507_093718,39,0.06613620137795806,0.29934296011924744,0.004543351475149393
gradient_by_layer,DD,MatrixRes,GCNConv,0,B7,identity,20260507_094819,45,0.16395007694760957,0.7849838137626648,0.007118972949683666
gradient_by_layer,DD,MatrixRes,GCNConv,0,B8,identity,20260507_095714,51,0.06052295648145909,0.2913796305656433,0.0024741527158766985
gradient_by_layer,DD,MatrixRes,GCNConv,1,B1,identity,20260507_091301,9,0.05533396372468107,0.24295319616794586,0.0011826588306576014
gradient_by_layer,DD,MatrixRes,GCNConv,1,B2,identity,20260507_091548,15,0.04968715518092116,0.1961953490972519,0.005770330782979727
gradient_by_layer,DD,MatrixRes,GCNConv,1,B3,identity,20260506_223212,21,0.09671547144119229,0.47936034202575684,0.005613135639578104
gradient_by_layer,DD,MatrixRes,GCNConv,1,B3,identity,20260507_091915,21,0.10802456661171857,0.525126576423645,0.0032485248520970345
gradient_by_layer,DD,MatrixRes,GCNConv,1,B4,identity,20260507_092428,27,0.018191522210583098,0.08187960833311081,5.731263445341028e-05
gradient_by_layer,DD,MatrixRes,GCNConv,1,B5,identity,20260507_093055,33,0.03267986493566158,0.14561377465724945,0.0019113306188955903
