artifact,dataset,model,operator,fold,branches,residual_mode,timestamp,matrix_name,mean_cka_depth,max_cka_depth,min_cka_depth
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_090946,cka_depth,0.8788947330580817,1.0,0.6717424988746643
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091221,cka_depth,0.8444711632198758,1.0000001192092896,0.5937214493751526
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_091253,cka_depth,0.8639451662699381,1.0,0.6558898687362671
cka_depth,DD,MatrixResGated,GCNConv,0,B3,sparse,20260507_100929,cka_depth,0.8445080253813002,1.0000001192092896,0.5954280495643616
cka_depth,DD,MatrixResGated,GCNConv,0,B4,sparse,20260507_101254,cka_depth,0.8637933731079102,1.0,0.6360424160957336
cka_depth,DD,MatrixResGated,GCNConv,0,B5,sparse,20260507_101837,cka_depth,0.8081605898009406,1.0,0.4930979609489441
cka_depth,DD,MatrixResGated,GCNConv,0,B6,sparse,20260507_102427,cka_depth,0.824791881773207,1.0,0.5388805270195007
cka_depth,DD,MatrixResGated,GCNConv,0,B7,sparse,20260507_103151,cka_depth,0.8543910913997226,1.000000238418579,0.6063805818557739
cka_depth,DD,MatrixResGated,GCNConv,0,B8,sparse,20260507_103803,cka_depth,0.880801154507531,1.0,0.7003180384635925
cka_depth,DD,MatrixResGated,GCNConv,1,B1,sparse,20260507_100337,cka_depth,0.9644941886266073,1.0,0.9091757535934448
cka_depth,DD,MatrixResGated,GCNConv,1,B2,sparse,20260507_100658,cka_depth,0.9801075524753995,1.0,0.9495592713356018
cka_depth,DD,MatrixResGated,GCNConv,1,B3,sparse,20260506_223526,cka_depth,0.9658159679836698,1.0,0.9129434823989868
cka_depth,DD,MatrixResGated,GCNConv,1,B3,sparse,20260507_101020,cka_depth,0.9674173593521118,1.0,0.916751503944397
cka_depth,DD,MatrixResGated,GCNConv,1,B4,sparse,20260507_101433,cka_depth,0.9713018602795072,1.0,0.9278149008750916
cka_depth,DD,MatrixResGated,GCNConv,1,B5,sparse,20260507_101852,cka_depth,0.9319964382383559,1.0,0.8315197229385376
cka_depth,DD,MatrixResGated,GCNConv,1,B6,sparse,20260507_102531,cka_depth,0.9019498758845859,1.0000001192092896,0.7567026615142822
cka_depth,DD,MatrixResGated,GCNConv,1,B7,sparse,20260507_103147,cka_depth,0.8754722409778171,1.0,0.6821264624595642
cka_depth,DD,MatrixResGated,GCNConv,1,B8,sparse,20260507_104116,cka_depth,0.842923899491628,1.0,0.6463756561279297
cka_depth,DD,MatrixResGated,GCNConv,2,B1,sparse,20260507_100357,cka_depth,0.9612871342235141,1.0,0.8964238166809082
cka_depth,DD,MatrixResGated,GCNConv,2,B2,sparse,20260507_100639,cka_depth,0.9717617895868089,1.0000001192092896,0.9263138771057129
cka_depth,DD,MatrixResGated,GCNConv,2,B3,sparse,20260506_223451,cka_depth,0.968842625617981,1.0,0.919515073299408
cka_depth,DD,MatrixResGated,GCNConv,2,B3,sparse,20260507_101018,cka_depth,0.9688182804319594,1.0,0.9194701313972473
cka_depth,DD,MatrixResGated,GCNConv,2,B4,sparse,20260507_101313,cka_depth,0.9607966012424893,1.0,0.9014944434165955
cka_depth,DD,MatrixResGated,GCNConv,2,B5,sparse,20260507_101726,cka_depth,0.9611505402459039,1.0,0.9035578370094299
cka_depth,DD,MatrixResGated,GCNConv,2,B6,sparse,20260507_102322,cka_depth,0.9680865340762668,1.0,0.9197962880134583
cka_depth,DD,MatrixResGated,GCNConv,2,B7,sparse,20260507_103029,cka_depth,0.9606667889489068,1.0,0.899038553237915
cka_depth,DD,MatrixResGated,GCNConv,2,B8,sparse,20260507_103845,cka_depth,0.96552398469713,1.0,0.9084613919258118
cka_depth,DD,MatrixResGated,GCNConv,3,B1,sparse,20260507_100432,cka_depth,0.9023813803990682,1.0,0.7447783350944519
cka_depth,DD,MatrixResGated,GCNConv,3,B2,sparse,20260507_100855,cka_depth,0.8212766183747185,1.0,0.5258700251579285
cka_depth,DD,MatrixResGated,GCNConv,3,B3,sparse,20260506_223613,cka_depth,0.8421907557381524,1.0,0.5822667479515076
cka_depth,DD,MatrixResGated,GCNConv,3,B3,sparse,20260507_101126,cka_depth,0.8494338525666131,1.0,0.6015505194664001
cka_depth,DD,MatrixResGated,GCNConv,3,B4,sparse,20260507_101523,cka_depth,0.8779475490252177,1.0,0.6710062623023987
cka_depth,DD,MatrixResGated,GCNConv,3,B5,sparse,20260507_102049,cka_depth,0.807400213347541,1.0000001192092896,0.4683079719543457
cka_depth,DD,MatrixResGated,GCNConv,3,B6,sparse,20260507_102655,cka_depth,0.9170115987459818,1.0,0.7784034013748169
cka_depth,DD,MatrixResGated,GCNConv,3,B7,sparse,20260507_103513,cka_depth,0.9093753298123678,1.0,0.7551800608634949
cka_depth,DD,MatrixResGated,GCNConv,3,B8,sparse,20260507_104254,cka_depth,0.879644493261973,1.0,0.6772085428237915
cka_depth,DD,MatrixResGated,GCNConv,4,B1,sparse,20260507_100438,cka_depth,0.9728115399678549,1.0,0.932053804397583
cka_depth,DD,MatrixResGated,GCNConv,4,B2,sparse,20260507_100745,cka_depth,0.9751936594645182,1.0,0.9387439489364624
cka_depth,DD,MatrixResGated,GCNConv,4,B3,sparse,20260506_223605,cka_depth,0.967500752872891,1.0000001192092896,0.9171441793441772
cka_depth,DD,MatrixResGated,GCNConv,4,B3,sparse,20260507_101140,cka_depth,0.9674815800454881,1.0,0.9170833826065063
cka_depth,DD,MatrixResGated,GCNConv,4,B4,sparse,20260507_101458,cka_depth,0.9622742070092095,1.0,0.9075135588645935
cka_depth,DD,MatrixResGated,GCNConv,4,B5,sparse,20260507_102044,cka_depth,0.9580760796864828,1.0000001192092896,0.8934910893440247
cka_depth,DD,MatrixResGated,GCNConv,4,B6,sparse,20260507_102716,cka_depth,0.964942647351159,1.000000238418579,0.9115152359008789
cka_depth,DD,MatrixResGated,GCNConv,4,B7,sparse,20260507_103440,cka_depth,0.9566012952062819,1.0,0.8863579034805298
cka_depth,DD,MatrixResGated,GCNConv,4,B8,sparse,20260507_104131,cka_depth,0.9693415628539191,1.0,0.9241415858268738
cka_depth,DD,MatrixRes,GCNConv,0,B1,identity,20260507_091148,cka_depth,0.8428737454944186,1.0,0.5692009329795837
cka_depth,DD,MatrixRes,GCNConv,0,B2,identity,20260507_091452,cka_depth,0.8852924638324313,1.0,0.671358585357666
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260506_220130,cka_depth,0.9137951731681824,1.0000001192092896,0.7663477659225464
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260506_223200,cka_depth,0.8320503897137113,1.0,0.5282993912696838
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082526,cka_depth,0.9072981410556369,1.0,0.7465792894363403
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082557,cka_depth,0.8685797519154019,1.0,0.6258183717727661
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_082600,cka_depth,0.8304416206147935,1.0,0.5246661305427551
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083013,cka_depth,0.8895157972971598,1.0,0.713534414768219
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083052,cka_depth,0.8607056670718722,1.000000238418579,0.6080161333084106
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083113,cka_depth,0.8330261773533292,1.0,0.5357053875923157
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083510,cka_depth,0.8535659246974521,1.0,0.5864875912666321
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083551,cka_depth,0.8543739451302422,1.0,0.5889781713485718
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083601,cka_depth,0.846237752172682,1.0,0.560025691986084
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_083936,cka_depth,0.8310049573580424,1.0,0.5318565368652344
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_084252,cka_depth,0.8565326995319791,1.0,0.5961817502975464
cka_depth,DD,MatrixRes,GCNConv,0,B3,identity,20260507_091841,cka_depth,0.8397348192003038,1.0,0.5490114092826843
cka_depth,DD,MatrixRes,GCNConv,0,B4,identity,20260507_092313,cka_depth,0.8205217917760214,1.0,0.5022256374359131
cka_depth,DD,MatrixRes,GCNConv,0,B5,identity,20260507_092952,cka_depth,0.8425719738006592,1.0,0.5680485963821411
cka_depth,DD,MatrixRes,GCNConv,0,B6,identity,20260507_093718,cka_depth,0.838870730664995,1.0,0.5537006258964539
cka_depth,DD,MatrixRes,GCNConv,0,B7,identity,20260507_094819,cka_depth,0.8494806289672852,1.0,0.5751277804374695
cka_depth,DD,MatrixRes,GCNConv,0,B8,identity,20260507_095714,cka_depth,0.8387919929292467,1.0,0.5470489263534546
cka_depth,DD,MatrixRes,GCNConv,1,B1,identity,20260507_091301,cka_depth,0.9719066884782579,1.000000238418579,0.9276440739631653
cka_depth,DD,MatrixRes,GCNConv,1,B2,identity,20260507_091548,cka_depth,0.979988866382175,1.0,0.9496036767959595
cka_depth,DD,MatrixRes,GCNConv,1,B3,identity,20260506_223212,cka_depth,0.9872991773817275,1.0,0.9679308533668518
cka_depth,DD,MatrixRes,GCNConv,1,B3,identity,20260507_091915,cka_depth,0.987653997209337,1.0,0.9684967398643494
cka_depth,DD,MatrixRes,GCNConv,1,B4,identity,20260507_092428,cka_depth,0.9840639299816556,1.0,0.9594330787658691
cka_depth,DD,MatrixRes,GCNConv,1,B5,identity,20260507_093055,cka_depth,0.977573937839932,1.0,0.9441732168197632
cka_depth,DD,MatrixRes,GCNConv,1,B6,identity,20260507_094006,cka_depth,0.975490027003818,1.0,0.9377644062042236
cka_depth,DD,MatrixRes,GCNConv,1,B7,identity,20260507_094832,cka_depth,0.9351020654042562,1.0,0.8352132439613342
cka_depth,DD,MatrixRes,GCNConv,1,B8,identity,20260507_100055,cka_depth,0.9606992536120944,1.0,0.9037219882011414
cka_depth,DD,MatrixRes,GCNConv,2,B1,identity,20260507_091053,cka_depth,0.9682205782996284,1.0000001192092896,0.9147318601608276
cka_depth,DD,MatrixRes,GCNConv,2,B2,identity,20260507_091502,cka_depth,0.978766487704383,1.0,0.9416683316230774
cka_depth,DD,MatrixRes,GCNConv,2,B3,identity,20260506_223136,cka_depth,0.9705528418223063,1.0000001192092896,0.923721969127655
cka_depth,DD,MatrixRes,GCNConv,2,B3,identity,20260507_091813,cka_depth,0.9705577294031779,1.0,0.9237279295921326
cka_depth,DD,MatrixRes,GCNConv,2,B4,identity,20260507_092315,cka_depth,0.9747472471661038,1.0,0.934450626373291
cka_depth,DD,MatrixRes,GCNConv,2,B5,identity,20260507_092933,cka_depth,0.9769108096758524,1.0,0.9380539655685425
cka_depth,DD,MatrixRes,GCNConv,2,B6,identity,20260507_093751,cka_depth,0.984177033106486,1.0,0.9588597416877747
cka_depth,DD,MatrixRes,GCNConv,2,B7,identity,20260507_094737,cka_depth,0.9830675390031602,1.0,0.9547421336174011
cka_depth,DD,MatrixRes,GCNConv,2,B8,identity,20260507_095909,cka_depth,0.9684383935398526,1.000000238418579,0.9175180792808533
cka_depth,DD,MatrixRes,GCNConv,3,B1,identity,20260507_091349,cka_depth,0.8177125189039443,1.0,0.5027368664741516
cka_depth,DD,MatrixRes,GCNConv,3,B2,identity,20260507_091630,cka_depth,0.9207508299085829,1.000000238418579,0.780964732170105
cka_depth,DD,MatrixRes,GCNConv,3,B3,identity,20260506_223325,cka_depth,0.857828954855601,1.0000001192092896,0.6091457009315491
